   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:121(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        4    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:124(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1252(rc_context)
        1    0.000    0.000    0.007    0.007 __init__.py:133(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_NoValue)
        2    0.000    0.000    0.000    0.000 __init__.py:136(safe_indexing)
        1    0.000    0.000    0.000    0.000 __init__.py:1368(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1382(is_interactive)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
        2    0.000    0.000    0.241    0.121 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        3    0.000    0.000    0.000    0.000 __init__.py:146(compare_versions)
        2    0.000    0.000    0.012    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.024    0.024 __init__.py:155(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
       39    0.000    0.000    0.000    0.000 __init__.py:1572(unpack_labeled_data)
        1    0.000    0.000    0.001    0.001 __init__.py:16(<module>)
       39    0.001    0.000    0.006    0.000 __init__.py:1610(param)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.059    0.059 __init__.py:168(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:17(register)
        1    0.000    0.000    0.001    0.001 __init__.py:170(resample)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        5    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.013    0.013 __init__.py:18(<module>)
        1    0.000    0.000    0.101    0.101 __init__.py:18(pylab_setup)
        5    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.004    0.004 __init__.py:19(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        4    0.000    0.000    0.126    0.032 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.026    0.026 __init__.py:205(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_is_writable_dir)
       36    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        4    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
